,nct_id,study_type,acronym,baseline_population,brief_title,official_title,overall_status
65,NCT04452006,Interventional,,,"A Study in Healthy Subjects to Investigate the Safety and Tolerability of ACT- 541478 as Well as What ACT-541478 Does to the Body and the Way the Body Takes up, Distributes, and Gets Rid of ACT-541478","Single-center, Double-blind, Randomized, Placebo-controlled, Three-part, First-in-human, Phase 1 Study to Investigate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ACT-541478 in Healthy Subjects",Not yet recruiting
66,NCT04451993,Observational,,,Physical Activity Level in Patients With OSAS During Covid-19 Pandemic,Evaluation of Physical Activity Level and Sleep Quality in Patients With Obstructive Sleep Apnea Syndrome During Covid-19 Pandemic,Recruiting
67,NCT04451980,Observational,HATIM,,"The HIV, Adipose Tissue Immunology, and Metabolism Study","The HIV, Adipose Tissue Immunology, and Metabolism Study","Active, not recruiting"
68,NCT04451967,Observational,,,Acute Myocardial Infarction Study in Northeastern China,the Acute Myocardial Infarction Study in Northeastern China,Recruiting
69,NCT04002960,N/A,,,[Trial of device that is not approved or cleared by the U.S. FDA],[Trial of device that is not approved or cleared by the U.S. FDA],Withheld
70,NCT04451954,Interventional,FBP00004,,Study of Recombinant Influenza Vaccine Containing Different H3 Antigens Without or With Adjuvant in Healthy Adult Subjects,Safety and Immunogenicity of Quadrivalent Recombinant Influenza Vaccine Formulations Containing Different H3 Hemagglutinin Antigens Without or With Adjuvant in Healthy Adult Subjects,Not yet recruiting
71,NCT04451941,Interventional,,,Clinical Effects of Brain Machine Interface in Chronic Stroke Patient,Determination of Clinical Effects of Brain Machine Interface in Chronic Stroke Patient Without Wrist Extensor Strength,Not yet recruiting
72,NCT04451928,Observational [Patient Registry],,,"Prediction of Preterm Delivery by Serum Ischemia Modified Albumin, Biglycan and Decorin Levels in Women With Threatened Preterm Labour Levels","Prediction of Preterm Delivery by Serum Ischemia Modified Albumin, Biglycan and Decorin Levels in Women With Threatened Preterm Labour",Recruiting
73,NCT04451915,Interventional,LEMA_GDM,,Early Gestational Diabetes Mellitus,Late Versus Early Management of Gestational Diabetes Mellitus: a Non Inferiority Randomized Multicenter Trial,Not yet recruiting
74,NCT04451902,Observational [Patient Registry],,,COVID-19 and Rare Skin Diseases European Observational Study During an Epidemic,COVID-19 and Rare Skin Diseases. European Observational Study (Data Research) During an Epidemic,Not yet recruiting
75,NCT04451889,Interventional,,,Probe-based Confocal Laser Endomicroscopy in Critically Ill COVID-19 Patients,Probe-based Confocal Laser Endomicroscopy in Critically Ill COVID-19 Patients,Recruiting
76,NCT04451876,Observational,,,"Social Media Use ,Online Health Information Seeking and Knowledge on Hypertension","Social Media Use ,Online Health Information Seeking and Knowledge on Hypertension Among Undergraduate Students of Faculty of Medicine and Health Sciences (FMHS), Universiti Putra Malaysia (UPM)",Not yet recruiting
77,NCT04451863,Interventional,,,Analgesic and Subjective Effects of Terpenes,Analgesic and Subjective Effects of Terpenes Administered Alone and in Combination With THC: Potential THC- and Opioid-sparing Effects of Myrcene and ß-caryophyllene,Not yet recruiting
78,NCT04451850,Observational,,,HRV as a Marker of Treatment Response in PAH Arterial Hypertension,Heart Rate Variability (HRV) as a Marker of Treatment Response in Pulmonary Arterial Hypertension (PAH),Not yet recruiting
79,NCT04451837,Interventional,,,Semaglutide and Dapagliflozin in Diabetic Patients With Different Pathophysiology,Semaglutide and Dapagliflozin in Diabetic Patients With Different Pathophysiology,Recruiting
80,NCT04451824,Interventional,,,Examination of Circumferential Reduction,Contour Research CL-100 Examination of Circumferential Reduction: A Review of Data Collected From Routine Use of the Device,Completed
81,NCT04451811,Interventional,,,A PK Dose Proportionality Study of OPL-002 in Healthy Volunteers,A Pharmacokinetic Dose Proportionality Study of OPL-002 in Healthy Volunteers,Not yet recruiting
82,NCT03895034,N/A,,,[Trial of device that is not approved or cleared by the U.S. FDA],[Trial of device that is not approved or cleared by the U.S. FDA],Withheld
83,NCT04451798,Interventional,JenaMACS,,Acute Impact of the Impella CP Assist Device in Pts. With Cardiogenic Shock on the Patients Hemodynamic,JENA Mechanical Assist Circulatory Support Trial-JENAMACS-hemodynamic,Recruiting
84,NCT04451785,Interventional,VASCUSPHERO,,Hereditary Spherocytosis and Vascular Function,"Relationships Between Hemolysis, Erythrosis, Circulating Microparticles and Vascular Function in Patients With Hereditary Spherocytosis",Not yet recruiting
85,NCT04451772,Interventional,,,A Study of the Safety of Oral Elsubrutinib Capsules and Oral Upadacitinib Tablets Given Alone or in Combination (ABBV-599) for Adult Participants With Moderately to Severely Active Systemic Lupus Erythematosus to Assess Change in Disease State,"A Phase 2, Long-Term Extension (LTE) Study With Elsubrutinib and Upadacitinib Given Alone or in Combination (ABBV-599) in Subjects With Moderately to Severely Active Systemic Lupus Erythematosus Who Have Completed the M19-130 Phase 2 Randomized Controlled Trial (RCT)",Not yet recruiting
86,NCT04451759,Interventional,HYPOTHALNET,,Exploration by UHF MRI of Hypothalamic Networks Associated to Feeding in Obesity and Anorexia,Exploration by UHF MRI of Hypothalamic Networks Associated to Feeding in Obesity and Anorexia,Not yet recruiting
87,NCT04451746,Interventional,ICODERUS,,The Influence of Combined Oral Contraception on the DEvelopment and progRession of Chronic venoUs diSeases,The Influence of Combined Oral Contraception on the DEvelopment and progRession of Chronic venoUs diSeases,Not yet recruiting
88,NCT04451733,Observational,,,Effect of ETI Performance on CPR Outcomes,Effect of Endotracheal Intubation Performance on the Outcomes in out-of Hospital Cardiac Arrest Patients,Completed
89,NCT04451720,Interventional,,,Study of Subcutaneous Risankizumab Injection to Assess Change in Palmoplantar Pustulosis Area and Severity Index [PPPASI] in Adult Japanese Participants With Palmoplantar Pustulosis,"A Phase 3, Multicenter, Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Risankizumab in Adult Japanese Subjects With Moderate to Severe Palmoplantar Pustulosis",Not yet recruiting
90,NCT04451707,Observational,INFECTIVE,,Epidemiology Non-cholera Vibrio Infections,Multicentre Retrospective Study on the Clinical and Epidemiological Characteristics and Therapeutic Management of Non-cholera Vibrio Infections,Completed
91,NCT03914872,Expanded Access,,,Expanded Access Neoantigen Vaccine in Solid Tumors,Expanded Access Neoantigen Vaccine in Solid Tumors,Temporarily not available
92,NCT04451694,Observational,NutriCoviDom,,Nutritional Follow up After Hospital Discharge for Coronavirus Disease-19,Nutritional Follow up After Hospital Discharge for Coronavirus Disease-19,Recruiting
93,NCT04451681,Interventional,,,Evaluation of Physical Performance in Ankylosing Spondylitis Patients,Evaluation of Physical Performance in Ankylosing Spondylitis Patients by Cardiopulmonary Exercise Test,Not yet recruiting
94,NCT04451668,Interventional,RESTORE,,An Open Label Study of FT218 in Subjects With Narcolepsy,Open Label Study of Safety/Tolerability of Once Nightly FT218 for the Treatment of Excessive Daytime Sleepiness and Cataplexy in Narcolepsy Patients That Have and Have Not Been Previously Maintained on Twice-nightly Sodium Oxybate IR,Recruiting
95,NCT04451655,Interventional,,,Glycemic Stability During the Intraoperative Period Among Patients With DM Undergoing CABG Surgery,Glycemic Stability During the Intraoperative Period Among Patients With DM Undergoing CABG Surgery,Completed
96,NCT04451642,Observational,,,A Retrospective Clinical Registry of Peripheral Nerve Block,A Retrospective Clinical Registry of Peripheral Nerve Block: Current Practice and Complications,Completed
97,NCT04451629,Interventional,,,Effect of Exercise on Primary Dysmenorrhea,Effect of Exercise on Pain and Qulity of Life on People in Primary Dysmenorrhea Complaints,"Active, not recruiting"
98,NCT04451616,Observational [Patient Registry],PROG-FAM,,Assessment of Progranulin and FAM19A5 Protein Blood Levels in Metabolic Syndrome,Assessment of Progranulin and Chemokine-like Protein TAFA-5 (FAM19A5) Blood Levels in Adults With Metabolic Syndrome,Not yet recruiting
99,NCT04451603,Observational,,,LiverMultiScan Analysis of MRI Scans in HCC,The Utility of LiverMultiScan Analysis of MRI Scans in Patients With Hepatocellular Carcinoma for Improved Prognostication and as an Aid to the Selection of Therapy,Recruiting
100,NCT04451590,Interventional,AW&VR,,Virtual Reality: a Teaching-learning Strategy for Cognitive Mastery in Airway Trauma Management,Virtual Reality: a Teaching-learning Strategy for Cognitive Mastery in Airway Trauma,Enrolling by invitation
101,NCT04451577,Observational,UNICODE,,"Epidemiologic, Clinical, Molecular Characteristics of Hospital Employees With or Without Covid-19 Infection","Epidemiologic, Clinical, Molecular Characteristics of Hospital Employees With or Without Covid-19 Infection: a Retrospective-prospective Cohort Study",Recruiting
102,NCT04451564,Interventional,FIBRODOPA,,Understanding and Restoring Dopaminergic Function in Fibromyalgia Patients,Understanding and Restoring Dopaminergic Function in Fibromyalgia Patients Using a Mindfulness-based Psychological Intervention: A [18F]-DOPA Positron Emissions Tomography (PET) Study Study Protocol for the FIBRODOPA Study- a Randomized Controlled Trial,Not yet recruiting
103,NCT04451551,Observational [Patient Registry],,,Myocardial Perfusion Imaging by 15O-H2O PET/CT,Myocardial Perfusion Imaging by 15O-H2O PET/CT: Reference Values and Prognostic Value,Not yet recruiting
104,NCT04451538,Interventional,,,Nutritional Intervention and Outcomes in Elderly After Hip Fracture Surgery,Impact of Perioperative Nutritional Intervention on Perioperative Outcomes of Elderly Patients Having Hip Fracture Surgery: A Randomized Control Trial,Not yet recruiting
105,NCT04451525,Observational,"""SOFAST""",,SOFia Aspiration System as First Line Technique,SOFAST: SOFia Aspiration System as First Line Technique,Recruiting
106,NCT04451512,Observational,,,Comparison of Cold and Hot Snare Resection for Colorectal Polyps Sized 10-19mm.,A Prospective Observational Study of Cold and Hot Snare Resection for Colorectal Polyps Sized 10-19mm.,"Active, not recruiting"
107,NCT04451499,Interventional,,,The Effect of Adding Smartphone-based Platform to the Bariatric Surgery Preparation Process,The Effect of Adding Smartphone-based Platform to the Bariatric Surgery Preparation Process,Not yet recruiting
108,NCT04451486,Interventional,,,A Phase I Study of SB Cell for the Enhanced Osseointegration of Guided Bone Regeneration in Implant Surgery,A Phase I Study to Evaluate The Use of Autologous-Derived Adult Peripheral Small Blood Stem Cells to Enhance Osseointegration of Guided Bone Regeneration in Implant Surgery,Recruiting
109,NCT04451473,Interventional,,,Lung Surgery With Enhanced Recovery VS. Lung Surgery Without Enhanced Recovery,The Short Term and Long Term Comparison of Lung Surgery With or Without Enhanced Recovery,Recruiting
110,NCT04451460,Observational,,,Effect of Hyponatremia in Small Cell Lung Cancer,Frequency and Effect on the Prognosis of Hyponatremia During the diagnosıs in Small Cell Lung Cancer,Completed
111,NCT04451447,Interventional,LDLTx,,White Test in Intra-operative Detection of Donor Biliary Leak in LDLTx.,Effectiveness and Sensitivity of White Test Versus Conventional Saline Test in Minimizing Biliary Leak in Partial Liver Resection in Living Donor Liver Transplant,Completed
112,NCT04451434,Interventional,,,Study of Danicopan in Participants of Japanese Descent,"A Phase 1 Study to Determine the Safety, Tolerability, and Pharmacokinetics of Danicopan After Administration as an Oral Tablet in the Fed and Fasted States in Participants of Japanese Descent",Not yet recruiting
113,NCT04451421,Interventional,,,Effects of Standing at Different Angles on Transpulmonary Pressure,Effects of Standing at Different Angles on Transpulmonary Pressure,Not yet recruiting
114,NCT04451408,Interventional,,,A Study of LY3372993 in Participants With Alzheimer's Disease (AD),"A Multiple-Dose, Dose-Escalation Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of LY3372993 in Participants With Alzheimer's Disease",Not yet recruiting
